Number of pixels;Accuracy;White noises;Circles;Squares;Stars;Triangles
3;0.6267857142857143;0.9036036036036036;0.0;0.5367581930912312;0.9300265721877768;0.7625448028673835
4;0.9025;0.8333333333333334;0.9793906810035843;0.8600531443755536;0.9805137289636847;0.8584229390681004
5;0.5935714285714285;0.9819819819819819;0.0;0.0;0.9982285208148804;0.9919354838709677
6;0.9760714285714286;0.963963963963964;0.996415770609319;0.9557130203720107;0.9875996457041629;0.9767025089605734
7;0.9844642857142857;0.9567567567567568;0.9937275985663082;0.9849424269264836;0.9973427812223207;0.989247311827957
8;0.9833928571428572;0.9495495495495495;0.9901433691756273;0.9858281665190434;0.9946855624446412;0.996415770609319
9;0.9478571428571428;0.9828828828828828;0.9973118279569892;0.770593445527015;0.9982285208148804;0.9919354838709677
10;0.9858928571428571;0.9657657657657658;0.996415770609319;0.9822852081488043;0.9964570416297609;0.9883512544802867
11;0.7925;0.9837837837837838;0.0;0.9867139061116031;0.9964570416297609;0.9919354838709677
12;0.9764285714285714;0.9198198198198199;1.0;0.9849424269264836;0.9964570416297609;0.9802867383512545
