Number of pixels;Accuracy;White noises;Circles;Squares;Stars;Triangles
3;0.52375;0.26846846846846845;0.8763440860215054;0.5199291408325952;0.6271036315323295;0.32437275985663083
4;0.5560714285714285;0.8333333333333334;0.8987455197132617;0.0;0.7325066430469442;0.3216845878136201
5;0.67625;0.6531531531531531;0.9874551971326165;0.40478299379982285;0.8069087688219664;0.5304659498207885
6;0.5701785714285714;0.536036036036036;0.4775985663082437;0.4942426926483614;0.8255093002657219;0.5152329749103942
